tweet_id,user_id,created_at,text,name,screen_name,followers_count,friends_count,favourites_count,location,cln_txt
1.20E+18,2240774123,Sat Nov 23 22:55:10 +0000 2019,La vie culturelle à Natal avec Cahterine Genest : La musique brésilienne https://t.co/bE7aifzAxN,Denis Vézina,DenisDvezine,1145,1138,34820,"Québec,Québec",vie culturelle natal avec cahterine musique
1.20E+18,1.05E+18,Sat Nov 23 22:55:10 +0000 2019,@TrulyContent @itsJeffTiedrich @RudyGiuliani @DevinNunes #Trump2020,Brenda Holleman,HollemanBrenda,2,18,136,"Lexington, NC",trulycontent trump
1.20E+18,2802844290,Sat Nov 23 22:55:12 +0000 2019,"I Am A Baby Grand Piano Maker.
https://t.co/kn7yEhrYg5 
A Just For You Company!
Celebrate. Celebrate. Celebrate.
U.… https://t.co/bFMKJNgoHC",Kristy M. Harmon,AvonInternation,344,2103,4793,Sacramento - USA AND INTERNATIONAL,baby grand piano celebrate
1.20E+18,259377385,Sat Nov 23 22:55:13 +0000 2019,@UCAJamaica 🙏🏽,Sugar Boss ✨,BadGyallRiRi,6802,403,46641,876 Jamrock Jamaica 🇯🇲,ucajamaica
1.20E+18,29447668,Sat Nov 23 22:55:14 +0000 2019,@hozierisginger omg!!!!,Syd 🐺,atinyspark24,102,182,20060,"North Carolina, USA",hozierisginger omg
1.20E+18,43121581,Sat Nov 23 22:55:14 +0000 2019,@__theHeir And I love you too stank lol 😝,SC - SaySpider,iamtyran,6443,2766,691,"New Orleans, LA",love stank lol
1.20E+18,58832824,Sat Nov 23 22:55:16 +0000 2019,@authorwales @faruksm @StanVito @UnaiEmery_ Lmaoooo,Saliba's Uncle,MDGunner,1526,1118,5802,"Toronto, Ontario",authorwales lmaoooo
1.20E+18,16676888,Sat Nov 23 22:55:17 +0000 2019,@dsmom58 You are very welcome.,Doctor_David,Doctor_David,1250,870,200511,"Chapel Hill, NC",dsmom welcome
1.20E+18,1240774489,Sat Nov 23 22:55:17 +0000 2019,@ACHisSuper @HeavyMetalPro Glad you are back ACH. #welcomeback,Tío Snorlax,TexansAtWar89,296,1650,24569,"Laredo, TX",achissuper glad back ach welcomeback
1.20E+18,1.12E+18,Sat Nov 23 22:55:17 +0000 2019,@pup_woof https://t.co/kGvqGPfvFB,Thor_wolf_pup,thorwolfpup1975,99,343,2477,"Fort Lauderdale, FL",
1.20E+18,15900403,Sat Nov 23 22:55:18 +0000 2019,@Eythel 🤣🤣🤣🐔,David Miklos,dmiklos,16356,1982,33175,Mexico City,eythel
1.20E+18,100129225,Sat Nov 23 22:55:20 +0000 2019,@iamivykiara French Canadian Girls are 🔥🔥,Mr.Jones,JessyJonesxxx,73658,1587,17103,"Los Angeles, CA",iamivykiara french canadian girls
1.20E+18,329518957,Sat Nov 23 22:55:21 +0000 2019,@SAEKOSNOWtv 🦶,Elixa,Elix_9,8133,320,20346,"Las Vegas, NV",saekosnowtv
1.20E+18,35999496,Sat Nov 23 22:55:22 +0000 2019,@Averydwatts342 @wowsuperheroes @AXSTV @AXSTVFights @Wow_JessieJones @AXSTVWrestling Ok then enjoy,Amber O'neal,amberoneal1,37741,17375,21169,WORLDWIDE 🌏traveler,averydwatts ok enjoy
1.20E+18,48875310,Sat Nov 23 22:55:23 +0000 2019,https://t.co/chzw8V0Ni0,🇵🇰Nasir🌷Uddin🇺🇸,MrNaassir,33503,37176,694955,"Karachi, Pakistan New York USA",
1.20E+18,9.82E+17,Sat Nov 23 22:55:26 +0000 2019,Candle ken doll,Arsalan Modjbafan,In8Mate,44,208,3962,Colorado,ken doll
1.20E+18,58832824,Sat Nov 23 22:55:26 +0000 2019,@faruksm @authorwales @StanVito @UnaiEmery_ Makes sense,Saliba's Uncle,MDGunner,1526,1118,5802,"Toronto, Ontario",faruksm makes sense
1.20E+18,15900403,Sat Nov 23 22:55:31 +0000 2019,🐔,David Miklos,dmiklos,16356,1982,33176,Mexico City,
1.20E+18,360045617,Sat Nov 23 22:55:31 +0000 2019,@ChandlerHallow @MrBeastYT @jake_theviking @ChrisO2_  IM HANDING OUT TRHNAKSGIVING DINNERS TO HOMELESS ON THANKSGIV… https://t.co/9Gy6tSzFRY,JoNaThAn,Demuthjon,254,400,4613,"Minnesota, USA",chandlerhallow im handing trhnaksgiving dinners homeless
1.20E+18,43121581,Sat Nov 23 22:55:34 +0000 2019,@sailingskylight 😂😂😏 I almost threw my phone,SC - SaySpider,iamtyran,6443,2766,692,"New Orleans, LA",sailingskylight almost threw phone
1.20E+18,2240774123,Sat Nov 23 22:55:35 +0000 2019,Daniel Boucher raconte 20 ans d’une pas pire épopée https://t.co/3s1crqPJ5N,Denis Vézina,DenisDvezine,1145,1138,34820,"Québec,Québec",boucher raconte ans pas pire
1.20E+18,8.70E+17,Sat Nov 23 22:55:36 +0000 2019,Huff please!,✨ty the taurus 🧚🏽‍♀️💅🏽,MagicNoWand,660,967,8059,📍Michigan🛫Texas🚗Nevada🛫ATL,please
